FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID,Note
31115,Nebraska,NE,Loup County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31117,Nebraska,NE,McPherson County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31119,Nebraska,NE,Madison County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31121,Nebraska,NE,Merrick County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31123,Nebraska,NE,Morrill County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31125,Nebraska,NE,Nance County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31127,Nebraska,NE,Nemaha County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31129,Nebraska,NE,Nuckolls County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31131,Nebraska,NE,Otoe County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31133,Nebraska,NE,Pawnee County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31135,Nebraska,NE,Perkins County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31137,Nebraska,NE,Phelps County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31139,Nebraska,NE,Pierce County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31141,Nebraska,NE,Platte County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31143,Nebraska,NE,Polk County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31145,Nebraska,NE,Red Willow County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31147,Nebraska,NE,Richardson County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31149,Nebraska,NE,Rock County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31151,Nebraska,NE,Saline County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31153,Nebraska,NE,Sarpy County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31155,Nebraska,NE,Saunders County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31157,Nebraska,NE,Scotts Bluff County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
31159,Nebraska,NE,Seward County,Nebraska Non-Metro,2023,775,599,650,775,1000,1161,3199999999,Estimated from state non-metro area rates
