FIPS,County,State,Median Home Value,% of National Median,Price Category
12009,"Brevard County","Florida",304400,176.7,Expensive
37031,"Carteret County","North Carolina",304200,176.6,Expensive
16041,"Franklin County","Idaho",304000,176.4,Expensive
25011,"Franklin County","Massachusetts",303400,176.1,Expensive
06107,"Tulare County","California",303000,175.9,Expensive
17089,"Kane County","Illinois",303000,175.9,Expensive
41011,"Coos County","Oregon",302800,175.7,Expensive
42045,"Delaware County","Pennsylvania",302400,175.5,Expensive
12113,"Santa Rosa County","Florida",302100,175.3,Expensive
02195,"Petersburg Borough","Alaska",301300,174.9,Expensive
13297,"Walton County","Georgia",300500,174.4,Expensive
49039,"Sanpete County","Utah",300400,174.3,Expensive
